image,score
1,3
2,2
3,2
4,3
5,2
6,3
7,3
8,0
9,3
10,0
11,4
12,2
13,3
14,0
15,1
16,2
17,4
18,5
19,2
20,0
21,2
22,5
23,3
24,2
25,3
26,3
27,2
28,5
29,5
30,2
31,3
32,3
33,2
34,2
35,0
36,5
37,5
38,2
39,2
40,2
41,1
42,5
43,3
44,3
45,3
46,5
47,3
48,2
49,1
50,1
51,5
52,2
53,2
54,5
55,2
56,2
57,2
58,3
59,0
60,5
61,5
62,5
63,0
64,1
65,3
66,0
67,3
68,5
69,2
70,1
71,4
72,4
73,5
74,5
75,5
76,3
77,0
78,3
79,3
80,0
81,4
82,2
83,3
84,2
85,0
86,4
87,5
88,4
89,2
90,3
91,1
92,5
93,4
94,3
95,5
96,5
97,1
98,5
99,0
100,5
101,3
102,0
103,1
104,4
105,1
106,2
107,2
108,2
109,2
110,2
111,3
112,2
113,2
114,2
115,2
116,2
117,2
118,1
119,4
120,3
121,4
122,2
123,2
124,2
125,2
126,2
127,3
128,5
129,5
130,3
131,3
132,5
133,5
134,5
135,5
136,5
137,3
138,4
139,3
140,3
141,3
142,2
143,4
144,0
145,5
146,4
147,5
148,4
149,2
150,4
151,0
152,2
153,0
154,3
155,5
156,3
157,2
158,2
159,4
160,4
161,3
162,0
163,3
164,2
165,1
166,2
167,5
168,5
169,3
170,0
171,3
172,3
173,4
174,3
175,5
176,4
177,0
178,2
179,3
180,4
181,4
182,0
183,4
184,4
185,5
186,5
187,5
188,5
189,2
190,3
191,3
192,4
193,3
194,2
195,3
196,4
197,2
198,5
199,3
200,2
201,4
202,0
203,5
204,2
205,0
206,0
207,2
208,2
209,5
210,5
211,3
212,3
213,5
214,4
215,4
216,4
217,4
218,4
219,5
220,4
221,3
222,5
223,4
224,5
225,5
226,3
227,2
228,2
229,4
230,4
231,2
232,5
233,3
234,1
235,1
236,3
237,2
238,2
239,2
240,3
241,1
242,3
243,3
244,3
245,4
246,4
247,2
248,0
249,3
250,3
251,3
252,2
253,3
254,2
255,3
256,4
257,2
258,2
259,3
260,3
261,5
262,5
263,2
264,2
265,4
266,2
267,2
268,0
269,3
270,3
271,2
272,3
273,0
274,4
275,4
276,4
277,2
278,1
279,5
280,3
281,5
282,4
283,5
284,2
285,3
286,3
287,3
288,4
289,2
290,2
291,2
292,3
293,3
294,1
295,3
296,3
297,4
298,3
299,4
300,4
301,3
302,3
303,0
304,0
305,2
306,1
307,1
308,1
309,1
310,1
311,2
312,2
313,2
314,2
315,2
316,3
317,3
318,2
